File Name,Root Directory,File Size (MB),File Size (GB)
Y:\Library\TV NAS\11.22.63\Season 1\11.22.63.S01E01.The.Rabbit.Hole.mkv,Y:\Library\TV NAS\11.22.63\Season 1,1726,1.69
Y:\Library\TV NAS\Apocalypse The Second World War\Apocalypse World War Ii - 1X01 - Hitler's Rise To Power (1933-39)-1.mkv,Y:\Library\TV NAS\Apocalypse The Second World War,2344.77,2.29
Y:\Library\TV NAS\Apocalypse The Second World War\Apocalypse World War Ii - 1X02 - Collapse Of France (1939-40)-2.mkv,Y:\Library\TV NAS\Apocalypse The Second World War,1969.03,1.92
Y:\Library\TV NAS\Apocalypse The Second World War\Apocalypse World War Ii - 1X03 - Origins Of The Holocaust (1940-41)-3.mkv,Y:\Library\TV NAS\Apocalypse The Second World War,2225.75,2.17
Y:\Library\TV NAS\Apocalypse The Second World War\Apocalypse World War Ii - 1X04 - American Allies (1941-42)-4.mkv,Y:\Library\TV NAS\Apocalypse The Second World War,2224.56,2.17
Y:\Library\TV NAS\Apocalypse The Second World War\Apocalypse World War Ii - 1X05 - Allies Strike Back (1942-43)-5.mkv,Y:\Library\TV NAS\Apocalypse The Second World War,2058.62,2.01
Y:\Library\TV NAS\Apocalypse The Second World War\Apocalypse World War Ii - 1X06 - Retreat And Surrender (1944-45)-6.mkv,Y:\Library\TV NAS\Apocalypse The Second World War,2249.31,2.2
Y:\Library\TV NAS\attack.of.the.show\2012\attack.of.the.show.2012.12.19.720p.hdtv.dd2.0.x264-btn.mkv,Y:\Library\TV NAS\attack.of.the.show\2012,1264.42,1.23
Y:\Library\TV NAS\Fargo\Season 2\Fargo - 2x02 - Before the Law.mkv,Y:\Library\TV NAS\Fargo\Season 2,1348.46,1.32
Y:\Library\TV NAS\Fargo\Season 2\Fargo - 2x05 - The Gift of the Magi.mkv,Y:\Library\TV NAS\Fargo\Season 2,1392.67,1.36
"Y:\Library\TV NAS\Fargo\Season 2\Fargo - 2x07 - Did You Do This No, You Did It!.mkv",Y:\Library\TV NAS\Fargo\Season 2,1493.4,1.46
Y:\Library\TV NAS\Fargo\Season 2\Fargo - 2x08 - Loplop.mkv,Y:\Library\TV NAS\Fargo\Season 2,1311.02,1.28
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E01.Looking.Old.But.Feeling.New.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E01.Looking.Old.But.Feeling.New.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E01.Looking.Old.But.Feeling.New.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1858.53,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E02.Young.Family.Takes.On.History.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E02.Young.Family.Takes.On.History.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E02.Young.Family.Takes.On.History.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1860,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E03.Nomad.Family.Seeks.Final.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E03.Nomad.Family.Seeks.Final.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E03.Nomad.Family.Seeks.Final.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1862.01,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E04.Client.Rebuilds.After.Tragedy.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E04.Client.Rebuilds.After.Tragedy.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E04.Client.Rebuilds.After.Tragedy.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1859.36,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E05.French.Country.Sought.in.Waco.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E05.French.Country.Sought.in.Waco.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E05.French.Country.Sought.in.Waco.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1860.77,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E06.Craftsmen.Crave.Urban.Feel.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E06.Craftsmen.Crave.Urban.Feel.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E06.Craftsmen.Crave.Urban.Feel.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1861.77,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E07.Texan.Family.Returns.to.Roots.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E07.Texan.Family.Returns.to.Roots.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E07.Texan.Family.Returns.to.Roots.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1858.2,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E08.New.Home.New.Life.for.Mom.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E08.New.Home.New.Life.for.Mom.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E08.New.Home.New.Life.for.Mom.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1859.89,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E09.Missionaries.Retreat.in.Waco.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E09.Missionaries.Retreat.In.Waco.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E09.Missionaries.Retreat.in.Waco.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1861.08,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E10.Couple.Reach.for.Unreachable.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E10.Couple.Reach.for.Unreachable.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E10.Couple.Reach.for.Unreachable.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1860.36,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E11.Physicians.Seek.Farmhouse.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E11.Physicians.Seek.Farmhouse.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E11.Physicians.Seek.Farmhouse.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1861.35,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E12.Close.Academics.Seek.Acreage.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E12.Close.Academics.Seek.Acreage.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E12.Close.Academics.Seek.Acreage.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1858.9,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E13.Baby.Boomers.Buy.Fixer.Upper.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E13.Baby.Boomers.Buy.Fixer.Upper.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S01.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S01E13.Baby.Boomers.Buy.Fixer.Upper.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1860.04,1.82
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E01.Newlyweds.Seek.First.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E01.Newlyweds.Seek.First.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E01.Newlyweds.Seek.First.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1849.9,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E02.Young.Couple.Chooses.Old.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E02.Young.Couple.Chooses.Old.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E02.Young.Couple.Chooses.Old.Home.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1851.58,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E03.Homebuilders.Seek.Fixer.Upper.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E03.Homebuilders.Seek.Fixer.Upper.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E03.Homebuilders.Seek.Fixer.Upper.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1850.65,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E04.Extra.Space.for.Blended.Family.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E04.Extra.Space.for.Blended.Family.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E04.Extra.Space.for.Blended.Family.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1850.3,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E05.Expectant.Couple.Seeks.Nest.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E05.Expectant.Couple.Seeks.Nest.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E05.Expectant.Couple.Seeks.Nest.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1850.31,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E06.High.School.Friend.Seeks.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E06.High.School.Friend.Seeks.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E06.High.School.Friend.Seeks.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1851.61,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E07.Sports.Chaplain.Tackles.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E07.Sports.Chaplain.Tackles.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E07.Sports.Chaplain.Tackles.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1850.5,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E08.New.Homebuyers.Prefer.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E08.New.Homebuyers.Prefer.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E08.New.Homebuyers.Prefer.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1851.58,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E09.Couple.Seeks.A.Unique.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E09.Couple.Seeks.a.Unique.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E09.Couple.Seeks.A.Unique.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1850.37,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E10.Three.Generations.One.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E10.Three.Generations.One.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E10.Three.Generations.One.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1850.62,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E11.Country.Couple.Seeks.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E11.Country.Couple.Seeks.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E11.Country.Couple.Seeks.Fixer.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1851.37,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E12.Island.Family.Seeks.Space.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E12.Island.Family.Seeks.Space.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S02.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA\Fixer.Upper.S02E12.Island.Family.Seeks.Space.1080p.HULU.WEB-DL.AAC2.0.H264-SiGMA,1851.37,1.81
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E01.1080p.WEB.H264-PFa\Fixer.Upper.S03E01.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E01.1080p.WEB.H264-PFa,1915.13,1.87
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E02.1080p.WEB.H264-PFa\Fixer.Upper.S03E02.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E02.1080p.WEB.H264-PFa,1920.74,1.88
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E03.1080p.WEB.H264-PFa\Fixer.Upper.S03E03.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E03.1080p.WEB.H264-PFa,1936.48,1.89
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E04.1080p.WEB.H264-PFa\Fixer.Upper.S03E04.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E04.1080p.WEB.H264-PFa,1938.5,1.89
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E05.1080p.WEB.H264-PFa\Fixer.Upper.S03E05.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E05.1080p.WEB.H264-PFa,1956.33,1.91
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E06.1080p.WEB.H264-PFa\Fixer.Upper.S03E06.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E06.1080p.WEB.H264-PFa,1928.3,1.88
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E07.1080p.WEB.H264-PFa\Fixer.Upper.S03E07.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E07.1080p.WEB.H264-PFa,1927.96,1.88
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E08.1080p.WEB.H264-PFa\Fixer.Upper.S03E08.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E08.1080p.WEB.H264-PFa,1938.89,1.89
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E09.1080p.WEB.H264-PFa\Fixer.Upper.S03E09.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E09.1080p.WEB.H264-PFa,1931.47,1.89
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E10.1080p.WEB.H264-PFa\Fixer.Upper.S03E10.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E10.1080p.WEB.H264-PFa,1905.24,1.86
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E11.1080p.WEB.H264-PFa\Fixer.Upper.S03E11.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E11.1080p.WEB.H264-PFa,1938.39,1.89
Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E12.1080p.WEB.H264-PFa\Fixer.Upper.S03E12.1080p.WEB.H264-PFa.mkv,Y:\Library\TV NAS\Fixer Upper\Fixer.Upper.S03.1080p.WEB.H264-PFa\Fixer.Upper.S03E12.1080p.WEB.H264-PFa,1914.48,1.87
